start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
54,110,1.5,1.5160000000000005,57,2,0,2.0653919062423398e-06,7.085685580450938e-07,8.265738657600736e-06,1.830704138683359e-05
55,73,0.5,0.5059999999999998,19,0,0,1.5619475561834406e-06,1.3551868960348656e-08,7.3912859099211385e-06,8.387375000751263e-06
55,92,1.0,1.013,38,2,0,6.237096571979601e-07,8.905871457788215e-07,5.408117982609499e-07,1.3424024068342533e-05
55,111,1.5,1.512,57,2,0,1.9629564280007746e-06,4.969956102105396e-07,8.5985866311262e-06,1.4250841800844682e-05
56,74,0.5,0.5049999999999999,19,0,0,1.8032338857665309e-06,9.774623777047964e-09,6.059448127497379e-06,5.557979520176559e-06
56,93,1.0,1.017,38,2,0,8.012508358431009e-07,1.379142869004753e-06,1.603209984955338e-07,7.181368900432972e-06
56,112,1.5,1.5130000000000003,57,2,0,2.1264368849335943e-06,3.598369251969115e-07,8.720444520303421e-06,6.1911504332101686e-06
57,75,0.5,0.5009999999999999,19,0,0,1.619581894374278e-06,4.5904755552328425e-09,5.272185960855739e-06,3.527195087116297e-06
57,94,1.0,1.0109999999999997,38,2,0,5.397320276624246e-07,1.6786654580770228e-06,7.167631874608808e-08,2.0628007320055985e-06
57,113,1.5,1.5100000000000002,57,2,0,2.1453552446710908e-06,2.5454557301282275e-07,8.678868258618454e-06,8.603947776464338e-09
58,77,0.5,0.52,20,1,0,1.6563247982048779e-06,5.720062006275839e-07,3.9406440209062296e-06,7.589099624283335e-06
58,95,1.0,1.0060000000000002,38,2,0,4.757583862571332e-07,8.03107673373856e-07,2.1986100757696828e-07,9.593577090072358e-06
58,114,1.5,1.5080000000000005,57,2,0,2.2771251667467627e-06,1.728473956355089e-07,8.67049566469722e-06,1.748687964209239e-06
59,78,0.5,0.5180000000000002,20,1,0,1.5663908925489523e-06,2.4184294886708813e-06,3.4300200121267356e-06,9.742812576263304e-06
